id,year,game_date,winning_team_name,winning_score,losing_team_name,losing_score
964,2018,2018-03-17,Nevada,75,Cincinnati,73
965,2018,2018-03-17,Florida St,75,Xavier,70
966,2018,2018-03-17,Gonzaga,90,Ohio St,84
967,2018,2018-03-17,Michigan,64,Houston,63
968,2018,2018-03-17,Texas AM,86,North Carolina,65
969,2018,2018-03-17,Villanova,81,Alabama,58
970,2018,2018-03-17,West Virginia,94,Marshall,71
971,2018,2018-03-17,Texas Tech,69,Florida,66
972,2018,2018-03-17,Purdue,76,Butler,73
973,2018,2018-03-17,Kansas,83,Seton Hall,79
974,2018,2018-03-17,Clemson,84,Auburn,53
975,2018,2018-03-17,Syracuse,55,Michigan St,53
976,2018,2018-03-17,Duke,87,Rhode Island,62
977,2018,2018-03-22,Kansas St,61,Kentucky,58
978,2018,2018-03-22,Loyola Chicago,69,Nevada,68
979,2018,2018-03-22,Florida St,75,Gonzaga,60
980,2018,2018-03-22,Michigan,99,Texas AM,72
981,2018,2018-03-23,Villanova,90,West Virginia,78
982,2018,2018-03-23,Texas Tech,78,Purdue,65
983,2018,2018-03-23,Kansas,80,Clemson,76
984,2018,2018-03-23,Duke,69,Syracuse,65
985,2018,2018-03-24,Loyola Chicago,78,Kansas St,62
986,2018,2018-03-24,Michigan,58,Florida St,54
987,2018,2018-03-25,Villanova,71,Texas Tech,59
988,2018,2018-03-25,Kansas,85,Duke,81
989,2018,2018-03-31,Michigan,69,Loyola Chicago,57
990,2018,2018-03-31,Villanova,95,Kansas,79
991,2018,2018-04-02,Villanova,79,Michigan,62
1059,2019,2019-03-19,Fairleigh Dickinson,82,Prairie View,76
1060,2019,2019-03-19,Belmont,81,Temple,70
1061,2019,2019-03-19,North Dakota St,78,NC Central,74
1062,2019,2019-03-19,Arizona St,74,St Johns NY,65
1063,2019,2019-03-21,Duke,85,North Dakota St,62
1064,2019,2019-03-21,UCF,73,VCU,58
1065,2019,2019-03-21,Liberty,80,Mississippi St,76
1066,2019,2019-03-21,Virginia Tech,66,Saint Louis,52
1067,2019,2019-03-21,Maryland,79,Belmont,77
1068,2019,2019-03-21,LSU,79,Yale,74
1069,2019,2019-03-21,Minnesota,86,Louisville,76
1070,2019,2019-03-21,Michigan St,76,Bradley,65
1071,2019,2019-03-21,Virginia,71,Gardner-Webb,56
1072,2019,2019-03-21,Oklahoma,95,Ole Miss,72
1073,2019,2019-03-21,Oregon,72,Wisconsin,54
1074,2019,2019-03-21,UC Irvine,70,Kansas St,64
1075,2019,2019-03-21,Villanova,71,Saint Marys CA,57
1076,2019,2019-03-21,Purdue,61,Old Dominion,48
1077,2019,2019-03-21,Iowa,79,Cincinnati,72
1078,2019,2019-03-21,Tennessee,77,Colgate,70
1079,2019,2019-03-21,North Carolina,88,Iona,73
1080,2019,2019-03-21,Washington,78,Utah St,61
1081,2019,2019-03-21,Auburn,78,New Mexico St,77
1082,2019,2019-03-21,Kansas,87,Northeastern,53
1083,2019,2019-03-21,Ohio St,62,Iowa St,59
1084,2019,2019-03-21,Houston,84,Georgia St,55
1085,2019,2019-03-21,Wofford,84,Seton Hall,68
1086,2019,2019-03-21,Kentucky,79,Abilene Christian,44
1087,2019,2019-03-21,Gonzaga,87,Fairleigh Dickinson,49
1088,2019,2019-03-21,Baylor,78,Syracuse,69
1089,2019,2019-03-21,Murray St,83,Marquette,64
1090,2019,2019-03-21,Florida St,76,Vermont,69
1091,2019,2019-03-21,Buffalo,91,Arizona St,74
1092,2019,2019-03-21,Texas Tech,72,Northern Ky,57
1093,2019,2019-03-21,Florida,70,Nevada,61
1094,2019,2019-03-21,Michigan,74,Montana,55
1095,2019,2019-03-23,Duke,77,UCF,76
1096,2019,2019-03-23,Virginia Tech,67,Liberty,58
1097,2019,2019-03-23,LSU,69,Maryland,67
1098,2019,2019-03-23,Michigan St,70,Minnesota,50
1099,2019,2019-03-23,Gonzaga,83,Baylor,71
1100,2019,2019-03-23,Florida St,90,Murray St,62
1101,2019,2019-03-23,Texas Tech,78,Buffalo,58
1102,2019,2019-03-23,Michigan,64,Florida,49
1103,2019,2019-03-23,Virginia,63,Oklahoma,51
1104,2019,2019-03-23,Oregon,73,UC Irvine,54
1105,2019,2019-03-23,Purdue,87,Villanova,61
1106,2019,2019-03-23,Tennessee,83,Iowa,77
1107,2019,2019-03-23,North Carolina,81,Washington,59
1108,2019,2019-03-23,Auburn,89,Kansas,75
1109,2019,2019-03-23,Houston,74,Ohio St,59
1110,2019,2019-03-23,Kentucky,62,Wofford,56
1111,2019,2019-03-28,Kentucky,62,Houston,58
1112,2019,2019-03-28,Auburn,97,North Carolina,80
1113,2019,2019-03-28,Purdue,99,Tennessee,94
1114,2019,2019-03-28,Virginia,53,Oregon,49
1115,2019,2019-03-28,Duke,75,Virginia Tech,73
1116,2019,2019-03-28,Michigan St,80,LSU,63
1117,2019,2019-03-28,Gonzaga,72,Florida St,58
1118,2019,2019-03-28,Texas Tech,63,Michigan,64
1119,2019,2019-03-30,Texas Tech,75,Gonzaga,69
1120,2019,2019-03-30,Michigan St,68,Duke,67
1121,2019,2019-03-30,Virginia,80,Purdue,75
1122,2019,2019-03-30,Auburn,77,Kentucky,71
1123,2019,2019-04-06,Virginia,63,Auburn,62
1124,2019,2019-04-06,Texas Tech,61,Michigan St,51
1125,2019,2019-04-08,Virginia,85,Texas Tech,77
