year,team_name,avg_points_per_game,scoring_margin_per_game,num_fg_attempts_per_game,fg_percentage,num_3p_per_game,num_3p_attempts_per_game,t3p_percentage,num_ft_attempts_per_game,ft_percentage,rebound_margin,assists_per_game,ato_ratio,avg_opponent_points_per_game,num_opp_fg_attempts_per_game,opp_fg_percentage,num_opp_3p_attempts_per_game,opp_3p_percentage,blocks_per_game,steals_per_game,opp_turnovers_per_game,turnovers_per_game,fouls_per_game,num_dq
2010,Siena,75.45455,10.18182,59.93939,0.45854,4.75758,,,23.48485,0.66968,4.09091,14.45455,1.18069,65.27273,59.78788,0.42727,18.78788,0.32903,3.57576,8.81818,15.24242,12.24242,13.78788,5
2010,Temple,64.94118,8.79412,55.58824,0.43598,5.85294,17.29412,0.33844,15.41176,0.68893,4.35295,14.73529,1.40730,56.14706,54.38235,0.37858,17.50000,0.28067,2.94118,4.70588,11.29412,10.47059,14.73529,2
2010,Texas,81.24242,11.54545,63.30303,0.46865,5.66667,16.42424,0.34502,25.60606,0.63432,6.78788,14.48485,1.04139,69.69697,61.24242,0.40228,17.45455,0.32118,5.75758,7.81818,15.03030,13.90909,19.69697,13
2010,UC Santa Barbara,68.17241,2.51724,50.34483,0.44795,6.86207,18.10345,0.37905,23.82759,0.68017,-2.20689,13.89655,0.89357,65.65517,53.75862,0.41693,21.37931,0.30323,3.10345,6.75862,15.48276,15.55172,19.17241,9
2010,UNLV,73.30303,9.69697,57.33333,0.46195,6.72727,20.39394,0.32987,18.93939,0.71840,-0.48485,16.33333,1.39276,63.60606,51.30303,0.39752,17.42424,0.32696,3.48485,7.78788,15.72727,11.72727,20.33333,11
2010,UTEP,75.78125,11.59375,56.93750,0.47585,6.15625,17.75000,0.34683,22.96875,0.67211,0.78125,14.78125,1.12352,64.18750,54.81250,0.38997,18.62500,0.30705,3.71875,8.75000,15.90625,13.15625,19.34375,15
2010,Utah St,73.70588,14.05882,54.88235,0.49143,6.97059,16.61765,0.41947,16.76471,0.76316,6.35294,16.94118,1.65043,59.64706,53.41176,0.40308,17.55882,0.31826,3.52941,4.64706,11.20588,10.26471,16.00000,13
2010,Vanderbilt,77.25000,8.25000,55.59375,0.47049,6.21875,16.87500,0.36852,25.78125,0.72606,0.65625,13.15625,0.96119,69.00000,60.37500,0.41097,18.93750,0.33333,5.21875,5.75000,13.56250,13.68750,19.21875,13
2010,Vermont,70.61765,6.26471,53.47059,0.44169,4.73529,,,27.05882,0.68913,3.11765,12.05882,0.85774,64.35294,56.94118,0.39669,17.35294,0.31525,4.11765,6.79412,13.61765,14.05882,18.35294,18
2010,Winthrop,62.43750,1.06250,58.71875,0.38265,3.81250,,,21.18750,0.64602,1.65625,10.65625,0.86329,61.37500,53.28125,0.39765,18.46875,0.29442,4.06250,8.75000,15.53125,12.34375,18.75000,8
2010,Wofford,69.38235,8.17647,53.67647,0.44110,5.88235,16.85294,0.34904,24.02941,0.67197,2.82353,13.58824,1.14074,61.20588,52.41176,0.41807,15.97059,0.30939,2.11765,7.08824,14.32353,11.91176,17.82353,6
2011,Akron,70.51429,4.91429,57.40000,0.43255,7.88571,21.82857,0.36126,18.37143,0.70607,-2.80000,14.57143,1.20283,65.60000,55.91429,0.41441,16.82857,0.31749,3.57143,6.68571,14.28571,12.11429,19.17143,13
2011,Alabama St,61.32353,-2.32353,52.32353,0.39685,4.64706,,,25.20588,0.60093,0.88235,11.50000,0.72542,63.64706,50.55882,0.40256,14.97059,0.34578,4.70588,7.32353,15.64706,15.85294,22.20588,22
2011,Belmont,80.35294,18.41176,58.70588,0.46393,9.44118,24.76471,0.38124,22.32353,0.73650,3.88235,16.38235,1.17511,61.94118,50.70588,0.40661,15.38235,0.32696,3.47059,9.73529,19.17647,13.94118,20.82353,7
2011,Boston U,65.20588,1.97059,53.29412,0.40342,7.52941,21.20588,0.35506,20.08824,0.73060,0.82353,9.85294,0.82512,63.23529,56.05882,0.39559,21.08824,0.32078,3.70588,5.38235,11.26471,11.94118,18.20588,11
2011,Bucknell,70.75758,7.33334,54.66667,0.44956,6.87879,17.09091,0.40248,18.72727,0.78641,0.39394,14.72727,1.29600,63.42424,55.21212,0.39243,20.21212,0.31484,3.18182,4.75758,11.93939,11.36364,18.24242,8
